Cluster NumberAM{HH1}AM,Household NumberAM{HH2}AM,parishAM{HH1A}AM,constituencyAM{HH1B}AM,enumeration districtAM{HH1C}AM,dwelling numberAM{HH2A}AM,household numberAM{HH2B}AM,Interviewer numberAM{HH3}AM,Supervisor NumberAM{HH4}AM,Day of interviewAM{HH5D}AM,Month of interviewAM{HH5M}AM,Year of interviewAM{HH5Y}AM,AreaAM{HH6}AM,Result of HH interviewAM{HH9}AM,Respondent HH questionnaireAM{HH10}AM,Number of household membersAM{HH11}AM,Total eligible womenAM{HH12}AM,Women interviews completedAM{HH13}AM,Total children under 5AM{HH14}AM,Child interviews completedAM{HH15}AM,Data entry clerkAM{HH16}AM,Serial NumberAM{HHS}AM,Total number of Women 15-49AM{TOHL6}AM,Total number of Children 5-14AM{TOHL7}AM,Total number of children Under 5 yearsAM{TOHL8}AM,Total number of Very SickAM{TOHL8A}AM,Total number of mothers deadAM{TOHL9}AM,Total number of mothers very sickAM{TOHL10A}AM,Total number of father deadAM{TOHL11}AM,Total number of fathers very sickAM{TOHL12A}AM,Main source info.AM{HL13}AM,Distance to Health centreAM{HL14}AM,Main source of drinking waterAM{WS1}AM,Main source of water used for other purposes (if bottled watAM{WS2}AM,Time to get water and come backAM{WS3}AM,Person fetching waterAM{WS4}AM,How Frequently is water availableAM{WS4A}AM,Treat water to make safer for drinkingAM{WS5}AM,BoilAM{WS6A}AM,Add bleach/chlorineAM{WS6B}AM,Strain it through a clothAM{WS6C}AM,Use water filterAM{WS6D}AM,Solar disinfectionAM{WS6E}AM,Let it stand and settleAM{WS6F}AM,OtherAM{WS6X}AM,WS6ZAM{WS6Z}AM,Kind of toilet facilityAM{WS7}AM,Toilet facility sharedAM{WS8}AM,Households using this toilet facilityAM{WS9}AM,Distance to nearest Primary SchoolAM{ED9}AM,Distance to nearest Secondary SchoolAM{ED10}AM,Have any usual member of your household died  in the last 12AM{OV2}AM,Of those who died is there any one between the ages of 18 anAM{OV3}AM,"If yes ,were any seriously ill for 3 of  the 12 months beforAM{OV4}AM",Total children aged 2-14 yearsAM{CD7}AM,Rank number of child (from response box)AM{CD9}AM,Child line numberAM{CD11}AM,Took away privilegesAM{CD12A}AM,Explaned why something was wrongAM{CD12B}AM,Shook him/herAM{CD12C}AM,Shouted yelled at or screamed at him/herAM{CD12D}AM,Gave him/hersomething else to doAM{CD12E}AM,"Spanked, hit or slapped him/her with bare handAM{CD12F}AM",Hit him/her   on the bottom with or elsewhere with a beltAM{CD12G}AM,"Called him/her dumb, lazyAM{CD12H}AM",Hit or slapped him/her on the faceAM{CD12I}AM,Hit or slapped him/her on the handAM{CD12J}AM,Beat him/her up with an implementAM{CD12K}AM,Did name ever require medical attentionAM{CD12L}AM,Do you believe to bring up you nedd to punish him/herAM{CD13}AM,Household weightAM{hhweight}AM,Education of household headAM{helevel}AM,Sex of household headAM{hhsex}AM,TOTAL URBANAM{TOTURB}AM
101011.0,301.0,1.0,1.0,11.0,3.0,1.0,2727.0,124.0,23.0,11.0,2005.0,KMA,Completed,1.0,6.0,0.0,0.0,2.0,2.0,3.0,4712.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,Boil,,,,,Let it stand and settle,,,Flush to septic tank,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,3.0,1.0,4.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,0.727543,Primary,Female,TOTAL URBAN
101011.0,1001.0,1.0,1.0,11.0,10.0,1.0,2727.0,124.0,23.0,11.0,2005.0,KMA,Completed,1.0,5.0,1.0,1.0,0.0,0.0,3.0,5728.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,No,,,,,,,,,Flush to septic tank,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,1.0,1.0,5.0,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,0.727543,Higher,Female,TOTAL URBAN
101011.0,1601.0,1.0,1.0,11.0,16.0,1.0,2945.0,124.0,23.0,11.0,2005.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,3.0,5716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEWSPAPER,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,No,,,,,,,,,Flush to piped sewer system,Yes,2.0,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,0.727543,Secondary,Male,TOTAL URBAN
101011.0,2301.0,1.0,1.0,11.0,23.0,1.0,2945.0,124.0,23.0,11.0,2005.0,KMA,Completed,1.0,2.0,0.0,0.0,0.0,0.0,3.0,5833.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEWSPAPER,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,No,,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,0.727543,Primary,Female,TOTAL URBAN
101011.0,3001.0,1.0,1.0,11.0,30.0,1.0,2727.0,124.0,23.0,11.0,2005.0,KMA,Completed,1.0,3.0,1.0,1.0,0.0,0.0,3.0,6470.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TELEVISION,1 MILE OR LESS,Piped into dwelling,,,,ALL THE TIME,Yes,Boil,,,,,,,,Flush to septic tank,No,,1 MILE OR LESS,1 MILE OR LESS,No,,,1.0,1.0,3.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,0.727543,Non-standard curriculum,Female,TOTAL URBAN
101011.0,3701.0,1.0,1.0,11.0,37.0,1.0,2945.0,124.0,23.0,11.0,2005.0,KMA,Not at home,,,,,,,3.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
101011.0,4301.0,1.0,1.0,11.0,43.0,1.0,2945.0,124.0,23.0,11.0,2005.0,KMA,Completed,1.0,3.0,1.0,1.0,0.0,0.0,3.0,5832.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,NEWSPAPER,1 MILE OR LESS,Piped into yard or plot,,,,MOST TIMES,No,,,,,,,,,Flush to piped sewer system,No,,1 MILE OR LESS,1 MILE OR LESS,,,,,,,,,,,,,,,,,,,,0.727543,Secondary,Female,TOTAL URBAN
101011.0,5001.0,1.0,1.0,11.0,50.0,1.0,2945.0,124.0,23.0,11.0,2005.0,KMA,Completed,1.0,3.0,1.0,1.0,2.0,2.0,3.0,5838.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,NEWSPAPER,1 MILE OR LESS,Piped into yard or plot,,,,ALL THE TIME,Yes,Boil,Add bleach/chlorine,,,,,,,Flush to piped sewer system,Yes,2.0,1 MILE OR LESS,1 MILE OR LESS,No,,,1.0,1.0,2.0,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,0.727543,Secondary,Female,TOTAL URBAN
101011.0,5601.0,1.0,1.0,11.0,56.0,1.0,2945.0,124.0,23.0,11.0,2005.0,KMA,Not at home,,,,,,,3.0,9999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,TOTAL URBAN
101011.0,6301.0,1.0,1.0,11.0,63.0,1.0,2945.0,124.0,23.0,11.0,2005.0,KMA,Completed,2.0,5.0,1.0,1.0,1.0,1.0,3.0,5831.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,NEWSPAPER,1 MILE OR LESS,Piped into yard or plot,,,,MOST TIMES,No,,,,,,,,,Flush to piped sewer system,Yes,4.0,1 MILE OR LESS,1 MILE OR LESS,No,,,2.0,1.0,3.0,No,No,No,No,No,No,No,No,No,No,No,No,No,0.727543,Secondary,Male,TOTAL URBAN
