Cluster numberAM{HH1}AM,Household numberAM{HH2}AM,Interviewer numberAM{HH3}AM,Supervisor numberAM{HH4}AM,Day of interviewAM{HH5D}AM,Month of interviewAM{HH5M}AM,Year of interviewAM{HH5Y}AM,AreaAM{HH6}AM,Result of HH interviewAM{HH9}AM,Respondent to HH questionnaireAM{HH10}AM,Number of HH membersAM{HH11}AM,Number of women 15 - 49 yearsAM{HH12}AM,Number of woman' questionnaires completedAM{HH13}AM,Number of children under age 5AM{HH14}AM,Number of under - 5 questionnaires completedAM{HH15}AM,Field editorAM{HH16}AM,Data entry clerkAM{HH17}AM,Start of interview - HourAM{HH18H}AM,Start of interview - MinutesAM{HH18M}AM,End of interview - HourAM{HH19H}AM,End of interview - MinutesAM{HH19M}AM,Main source of drinking waterAM{WS1}AM,Main source of water used for other purposes (if bottled watAM{WS2}AM,Location of the water sourceAM{WS3}AM,Time (in minutes) to get water and come backAM{WS4}AM,Person collecting waterAM{WS5}AM,Treat water to make safer for drinkingAM{WS6}AM,Water treatment: BoilAM{WS7A}AM,Water treatment: Add bleach/chlorineAM{WS7B}AM,Water treatment: Strain it through a clothAM{WS7C}AM,Water treatment: Use water filterAM{WS7D}AM,Water treatment: Solar disinfectionAM{WS7E}AM,Water treatment: Let it stand and settleAM{WS7F}AM,Water treatment: OtherAM{WS7X}AM,Water treatment: DKAM{WS7Z}AM,Type of toilet facilityAM{WS8}AM,Toilet facility sharedAM{WS9}AM,Toilet shared with other household or with general publicAM{WS10}AM,Households using this toilet facilityAM{WS11}AM,Religion of household headAM{HC1A}AM,Denomination of household headAM{HC1B}AM,Ethnic group of household headAM{HC1C}AM,Number of rooms used for sleepingAM{HC2}AM,Main material of floorAM{HC3}AM,Main material of roofAM{HC4}AM,Main material of exterior wallAM{HC5}AM,Type of fuel using for cookingAM{HC6}AM,Cooking locationAM{HC7}AM,ElectricityAM{HC8A}AM,RadioAM{HC8B}AM,TelevisionAM{HC8C}AM,Non-mobile phoneAM{HC8D}AM,RefrigeratorAM{HC8E}AM,ChairAM{HC8F}AM,TableAM{HC8G}AM,SofaAM{HC8H}AM,Kitchen Cupboard/CabinetAM{HC8I}AM,HC8JAM{HC8J}AM,Gas/Electric StoveAM{HC8K}AM,Microwave OvenAM{HC8L}AM,Air Conditioner/ CoolerAM{HC8M}AM,HC8NAM{HC8N}AM,Washing MachineAM{HC8O}AM,DryerAM{HC8P}AM,DishwasherAM{HC8Q}AM,Water HeaterAM{HC8R}AM,WatchAM{HC9A}AM,Mobile telephoneAM{HC9B}AM,BicycleAM{HC9C}AM,Motorcycle or scooterAM{HC9D}AM,Animal-drawn cartAM{HC9E}AM,Car or truckAM{HC9F}AM,Boat with motorAM{HC9G}AM,Household owns the dwellingAM{HC10}AM,Any household member own land that can be used for agricultuAM{HC11}AM,Measuring Unit (1 Hectares 2 Acres)AM{HC12U}AM,Hectares of agricultural land members of household ownsAM{HC12A}AM,Acres of agricultural land members of the household ownsAM{HC12B}AM,Sq ChainsAM{HC12C}AM,Household own any animalsAM{HC13}AM,"Cattle, milk cows, or bullsAM{HC14A}AM","Horses, donkeys, or mulesAM{HC14B}AM",GoatsAM{HC14C}AM,SheepAM{HC14D}AM,ChickensAM{HC14E}AM,HC14FAM{HC14F}AM,Any household member own bank accountAM{HC15}AM,Total children aged 2-14 yearsAM{CD6}AM,Rank number of the selected childAM{CD8}AM,Child line numberAM{CD9}AM,Flag for correct child line numberAM{CDFLAG}AM,Took away privilegesAM{CD11}AM,Explained why behaviour was wrongAM{CD12}AM,Shook childAM{CD13}AM,"Shouted, yelled or screamed at childAM{CD14}AM",Gave child something else to doAM{CD15}AM,"Spanked, hit or slapped child on bottom with bare handAM{CD16}AM","Hit child on the bottom or elsewhere with belt, brush, stickAM{CD17}AM","Called child dumb, lazy or another nameAM{CD18}AM","Hit or slapped child on the face, head or earsAM{CD19}AM","Hit or slapped child on the hand, arm or legAM{CD20}AM",Beat child up as hard as one couldAM{CD21}AM,Isolated childAM{CD21A}AM,Child needs to be physically punished to be brought up propeAM{CD22}AM,Place where household members most often wash their handsAM{HW1}AM,Water available at the place for handwashingAM{HW2}AM,Bar soapAM{HW3A}AM,Detergent (Powder / Liquid / Paste)AM{HW3B}AM,Liquid soapAM{HW3C}AM,Ash / Mud / SandAM{HW3E}AM,NoneAM{HW3Y}AM,Soap/other material available for washing handsAM{HW4}AM,Bar soapAM{HW5A}AM,Detergent (Powder / Liquid / Paste)AM{HW5B}AM,Liquid soapAM{HW5C}AM,Ash / Mud / SandAM{HW5D}AM,Not able / Does not want to showAM{HW5Y}AM,Sex of household headAM{HHSEX}AM,Household sample weightAM{hhweight}AM,Education of household headAM{helevel}AM,ParishAM{HH1A}AM,AreaAM{HH6A}AM,RegionAM{HH6B}AM,Wealth index scoreAM{wscore}AM,Wealth index quintilesAM{windex5}AM,Primary sampling unitAM{PSU}AM,stratumAM{stratum}AM
1.0,1.0,3036.0,3036.0,27.0,2.0,2011.0,KMA,Completed,1.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,14.0,8.0,14.0,11.0,Piped into dwelling,,,,,No,,,,,,,,,Flush to pit (latrine),No,,,Christianity,Penticostal,Negro,2.0,Cement,Roofing shingles,Cement,Liquefied Petroleum Gas (LPG),,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,Rent,No,,,,,No,,,,,,,Yes,,,,,,,,,,,,,,,,,,Other reason,,,,,,,Yes,,Detergent (Powder / Liquid / Paste),Liquid soap,,,Male,0.47490224814887594,Tertiary,1.0,Urban,  KMA,0.5548297296926965,Fourth,1.0,301.0
1.0,2.0,3036.0,3036.0,25.0,2.0,2011.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,12.0,29.0,12.0,40.0,Piped into dwelling,,,,,No,,,,,,,,,Flush to pit (latrine),No,,,No religion,,Negro,1.0,Ceramic tiles,Metal,Cement blocks,Liquefied Petroleum Gas (LPG),,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Own,Yes,Acres and Sq. Chains,,4.0,0.0,No,,,,,,,No,,,,,,,,,,,,,,,,,,Observed,Water is not available,,,,,None,Yes,,Detergent (Powder / Liquid / Paste),,,,Male,0.47490224814887594,None/Primary,1.0,Urban,  KMA,0.399010571922079,Middle,1.0,301.0
1.0,3.0,3036.0,3036.0,25.0,2.0,2011.0,KMA,Completed,1.0,4.0,2.0,2.0,0.0,0.0,6.0,2.0,15.0,35.0,15.0,41.0,Piped into dwelling,,,,,No,,,,,,,,,Flush to pit (latrine),No,,,Christianity,Church of God,Negro,3.0,Ceramic tiles,Metal,Cement blocks,Liquefied Petroleum Gas (LPG),,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Missing,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Own,Yes,Hectares,DK,,,No,,,,,,,Yes,,,,,,,,,,,,,,,,,,No permission to see,,,,,,,Yes,Bar soap,Detergent (Powder / Liquid / Paste),,,,Female,0.47490224814887594,Tertiary,1.0,Urban,  KMA,0.9311040713829716,Fourth,1.0,301.0
1.0,4.0,3036.0,3036.0,25.0,2.0,2011.0,KMA,Completed,1.0,4.0,2.0,2.0,0.0,0.0,6.0,2.0,13.0,35.0,13.0,48.0,Bottled water,Piped into dwelling,,,,No,,,,,,,,,Flush to pit (latrine),No,,,Christianity,Seventh Day,Negro,3.0,Ceramic tiles,Metal,Cement blocks,Liquefied Petroleum Gas (LPG),,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Own,No,,,,,No,,,,,,,Yes,1.0,1.0,4.0,Correct child selected,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No permission to see,,,,,,,Yes,Bar soap,Detergent (Powder / Liquid / Paste),Liquid soap,,,Female,0.47490224814887594,Tertiary,1.0,Urban,  KMA,0.9316306957556966,Fourth,1.0,301.0
1.0,5.0,3036.0,3036.0,27.0,2.0,2011.0,KMA,Completed,1.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,13.0,10.0,13.0,15.0,Piped into dwelling,,,,,No,,,,,,,,,Flush to pit (latrine),Yes,Other households only (not public),2.0,No religion,,Negro,1.0,Ceramic tiles,Metal,Cement blocks,Liquefied Petroleum Gas (LPG),,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Other (not owned or rented),No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,Other reason,,,,,,,Yes,Bar soap,,Liquid soap,,,Male,0.47490224814887594,Secondary,1.0,Urban,  KMA,0.26940302495268165,Middle,1.0,301.0
1.0,6.0,3036.0,3036.0,25.0,2.0,2011.0,KMA,Completed,1.0,4.0,0.0,0.0,0.0,0.0,6.0,2.0,15.0,0.0,15.0,14.0,Piped into dwelling,,,,,Yes,Boil,Add bleach / chlorine,,,,,,,Flush to pit (latrine),No,,,Christianity,Church of God,Negro,4.0,Ceramic tiles,Metal,Cement blocks,Liquefied Petroleum Gas (LPG),,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Own,Yes,Hectares,DK,,,No,,,,,,,Yes,1.0,1.0,3.0,Correct child selected,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Other reason,,,,,,,Yes,Bar soap,,,,,Male,0.47490224814887594,Tertiary,1.0,Urban,  KMA,0.9398263370311197,Fourth,1.0,301.0
1.0,7.0,3036.0,3036.0,28.0,2.0,2011.0,KMA,Completed,1.0,3.0,1.0,1.0,0.0,0.0,6.0,2.0,13.0,15.0,13.0,26.0,Piped into dwelling,,,,,Yes,Boil,,,,,,,,Flush to pit (latrine),No,,,No religion,,Negro,2.0,Ceramic tiles,Roofing shingles,Cement blocks,Liquefied Petroleum Gas (LPG),,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Own,No,,,,,No,,,,,,,Yes,,,,,,,,,,,,,,,,,,Other reason,,,,,,,Yes,,,Liquid soap,Ash / Mud / Sand,,Male,0.47490224814887594,Secondary,1.0,Urban,  KMA,0.8666544990832409,Fourth,1.0,301.0
1.0,8.0,3036.0,3036.0,24.0,2.0,2011.0,KMA,Completed,2.0,4.0,3.0,3.0,0.0,0.0,6.0,2.0,14.0,33.0,14.0,46.0,Piped into dwelling,,,,,No,,,,,,,,,Flush to pit (latrine),No,,,Christianity,Traditional Churches,Negro,2.0,Ceramic tiles,Metal,Cement blocks,Liquefied Petroleum Gas (LPG),,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Own,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,No permission to see,,,,,,,Yes,Bar soap,Detergent (Powder / Liquid / Paste),,,,Male,0.47490224814887594,None/Primary,1.0,Urban,  KMA,-0.08349495718335484,Middle,1.0,301.0
1.0,9.0,3036.0,3036.0,27.0,2.0,2011.0,KMA,Completed,2.0,7.0,1.0,1.0,1.0,1.0,6.0,2.0,12.0,45.0,12.0,52.0,Piped into dwelling,,,,,No,,,,,,,,,Flush to pit (latrine),No,,,Christianity,Church of God,Negro,3.0,Ceramic tiles,Metal,Cement blocks,Liquefied Petroleum Gas (LPG),,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Rent,Yes,Hectares,DK,,,No,,,,,,,Yes,4.0,4.0,7.0,Correct child selected,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No permission to see,,,,,,,Yes,Bar soap,Detergent (Powder / Liquid / Paste),,,,Male,0.47490224814887594,Secondary,1.0,Urban,  KMA,0.2791319581654969,Middle,1.0,301.0
1.0,10.0,3036.0,3036.0,6.0,3.0,2011.0,KMA,Completed,1.0,2.0,1.0,1.0,0.0,0.0,6.0,2.0,18.0,24.0,18.0,31.0,Piped into dwelling,,,,,No,,,,,,,,,Flush to unknown place / Not sure / DK where,Yes,Other households only (not public),2.0,Christianity,Traditional Churches,Negro,2.0,Ceramic tiles,Metal,Cement blocks,Liquefied Petroleum Gas (LPG),,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Rent,No,,,,,No,,,,,,,Yes,,,,,,,,,,,,,,,,,,No permission to see,,,,,,,Yes,,Detergent (Powder / Liquid / Paste),Liquid soap,,,Female,0.47490224814887594,Secondary,1.0,Urban,  KMA,0.6954744510742543,Fourth,1.0,301.0
